state,country,ufo_shape,encounter_length_seconds,date_documented
nv,us,triangle,2400,3/7/1998
ca,us,rectangle,900,3/7/1998
ga,us,light,300,3/7/1998
tn,us,unknown,300,3/7/1998
NA,NA,rectangle,3,3/7/1998
oh,us,triangle,120,3/7/1998
ct,us,light,2400,3/7/1998
pa,NA,circle,300,3/7/1998
wa,us,light,300,3/7/1998
ca,us,disk,600,3/7/1998
ca,us,light,18000,3/7/1998
mn,us,pyramid,120,3/7/1998
ca,us,light,5,3/7/1998
nj,us,light,180,3/7/1998
nv,us,disk,480,3/7/1998
fl,us,fireball,5,3/7/1998
oh,us,light,600,3/7/1998
NA,NA,triangle,2,3/7/1998
fl,us,sphere,300,3/7/1998
ny,us,sphere,120,3/7/1998
ok,us,light,120,3/7/1998
fl,NA,triangle,180,3/7/1998
az,us,triangle,600,3/7/1998
pa,us,light,1800,3/7/1998
pa,us,formation,1200,3/7/1998
mt,us,light,300,3/7/1998
fl,us,light,120,3/7/1998
ca,NA,disk,60,3/7/1998
tx,NA,formation,90,3/7/1998
ny,us,egg,300,3/7/1998
co,us,light,30,3/7/1998
or,us,triangle,60,3/7/1998
tx,us,fireball,5,3/7/1998
ut,us,other,180,3/7/1998
wa,us,sphere,7,3/7/1998
NA,au,cylinder,600,3/7/1998
tx,us,light,1800,3/7/1998
nv,us,sphere,10,3/7/1998
NA,NA,light,30,3/7/1998
az,us,other,180,3/7/1998
fl,us,fireball,105,3/7/1998
wa,us,light,3,3/7/1998
mo,us,light,600,3/7/1998
ok,us,triangle,600,3/7/1998
ca,us,triangle,180,3/7/1998
ca,us,egg,240,3/7/1998
pa,us,light,120,3/7/1998
co,us,unknown,300,3/7/1998
az,us,other,1800,3/7/1998
mi,us,circle,180,3/7/1998
pa,us,hexagon,240,3/7/1998
ca,NA,fireball,1,3/7/1998
fl,us,sphere,90,3/7/1998
ca,us,light,10,3/7/1998
vt,us,diamond,180,3/7/1998
vt,us,light,45,3/7/1998
or,us,light,3600,3/7/1998
il,us,oval,600,3/7/1998
ca,us,disk,1200,3/7/1998
nv,us,light,240,3/7/1998
va,us,light,60,3/7/1998
ok,NA,changing,30,3/7/1998
mi,us,chevron,300,3/7/1998
nv,us,other,3,3/7/1998
oh,us,triangle,300,3/7/1998
ar,us,light,600,3/7/1998
NA,NA,formation,615,3/7/1998
ga,us,light,86400,3/7/1998
tx,us,unknown,180,3/7/1998
la,us,light,3600,3/7/1998
fl,us,triangle,60,3/7/1998
tx,us,circle,300,3/7/1998
va,us,formation,30,3/7/1998
pr,us,cross,210,3/7/1998
ne,NA,triangle,420,3/7/1998
ut,us,other,10800,3/7/1998
hi,us,triangle,18000,3/7/1998
ca,us,sphere,1800,3/7/1998
fl,us,diamond,2400,3/7/1998
wi,us,triangle,120,3/7/1998
nv,us,sphere,3,3/7/1998
mo,us,triangle,60,3/7/1998
sc,us,unknown,180,3/7/1998
wa,us,triangle,120,3/7/1998
wa,us,sphere,240,3/7/1998
fl,us,light,20,3/7/1998
ca,us,light,3,3/7/1998
mo,us,light,600,3/7/1998
nv,us,light,300,3/7/1998
nv,us,light,1090,3/7/1998
ri,us,disk,300,3/7/1998
NA,NA,triangle,600,3/7/1998
ks,us,fireball,45,3/7/1998
tx,us,light,210,3/7/1998
fl,us,light,330,3/7/1998
ca,us,unknown,6,3/7/1998
NA,au,light,60,3/7/1998
ca,us,disk,900,3/7/1998
tn,us,circle,300,3/7/1998
ny,us,triangle,300,3/7/1998
oh,us,light,300,3/7/1998
wa,us,sphere,300,3/7/1998
NA,NA,teardrop,120,3/7/1998
ct,us,disk,2,3/7/1998
ma,us,disk,7,3/7/1998
ny,us,light,60,3/7/1998
pa,us,triangle,5400,3/7/1998
fl,us,light,120,3/7/1998
fl,us,cone,300,3/7/1998
pa,us,light,300,3/7/1998
pa,us,other,1200,3/7/1998
NA,au,other,1,3/7/1998
oh,us,unknown,5,3/7/1998
ca,us,triangle,120,3/7/1998
mi,us,sphere,1200,3/7/1998
il,us,sphere,4,3/7/1998
pa,us,NA,15,3/7/1998
pa,us,light,1800,3/7/1998
NA,gb,light,180,3/7/1998
az,us,oval,3600,3/7/1998
pa,us,NA,10800,3/7/1998
tx,us,delta,420,3/7/1998
az,NA,formation,900,3/7/1998
wv,us,sphere,900,3/7/1998
la,us,other,10,3/7/1998
az,us,light,1814400,3/7/1998
nj,us,oval,300,3/7/1998
az,NA,light,120,3/7/1998
az,us,formation,360,3/7/1998
az,us,chevron,600,3/7/1998
az,us,formation,300,3/7/1998
az,us,triangle,600,3/7/1998
az,us,light,420,3/7/1998
az,us,formation,600,3/7/1998
az,NA,formation,900,3/7/1998
az,us,sphere,300,3/7/1998
az,us,triangle,180,3/7/1998
az,us,formation,30,3/7/1998
az,us,sphere,1500,3/7/1998
me,us,egg,600,3/7/1998
va,us,delta,15,3/7/1998
ca,NA,triangle,120,3/7/1998
mt,us,light,10,3/7/1998
ca,us,fireball,120,3/7/1998
wi,NA,cross,600,3/7/1998
wi,us,light,600,3/7/1998
ny,us,light,2,3/7/1998
wi,us,crescent,37800,3/7/1998
wa,us,disk,300,3/7/1998
co,us,other,120,3/7/1998
co,us,disk,5,3/7/1998
va,us,formation,25,3/7/1998
md,us,light,300,3/7/1998
oh,us,circle,3,3/7/1998
mi,us,light,5,3/7/1998
fl,us,sphere,120,3/7/1998
pa,us,formation,120,3/7/1998
pa,us,disk,180,3/7/1998
ak,us,light,7200,3/7/1998
ca,us,oval,120,3/7/1998
ca,us,sphere,10800,3/7/1998
va,us,light,2,3/7/1998
wa,us,flash,1,3/7/1998
ga,NA,light,14400,3/7/1998
NA,NA,light,14400,3/7/1998
la,us,circle,10,3/7/1998
pa,us,disk,10,3/7/1998
ca,us,formation,60,3/7/1998
ca,us,light,2,3/7/1998
ar,NA,light,60,3/7/1998
tx,us,diamond,900,3/7/1998
in,us,formation,1200,3/7/1998
mo,us,sphere,2,3/7/1998
ma,us,egg,30,3/7/1998
wa,us,light,1200,3/7/1998
mn,us,triangle,2700,3/7/1998
ga,us,other,300,3/7/1998
NA,au,egg,10,3/7/1998
wa,us,light,45,3/7/1998
co,us,cylinder,300,3/7/1998
nv,us,other,60,3/7/1998
nv,us,light,45,3/7/1998
nj,us,other,600,3/7/1998
ca,us,triangle,90,3/7/1998
nv,us,light,3600,3/7/1998
ut,us,light,6,3/7/1998
co,us,light,5,3/7/1998
ca,us,light,600,3/7/1998
mi,us,disk,300,3/7/1998
wa,us,formation,900,3/7/1998
oh,us,disk,120,3/7/1998
tn,us,triangle,30,3/7/1998
mi,us,disk,600,3/7/1998
wi,NA,disk,20,3/7/1998
pa,us,oval,3,3/7/1998
tx,us,light,300,3/7/1998
ky,us,other,60,3/7/1998
sc,us,circle,300,3/7/1998
nv,NA,oval,43200,3/7/1998
wi,us,triangle,180,3/7/1998
va,us,sphere,180,3/7/1998
az,us,fireball,2,3/7/1998
wv,us,triangle,120,3/7/1998
pa,NA,triangle,1800,3/7/1998
co,us,other,900,3/7/1998
nj,us,cigar,600,3/7/1998
ut,us,disk,1800,3/7/1998
ca,us,rectangle,420,3/7/1998
ca,us,rectangle,300,3/7/1998
wa,NA,light,120,3/7/1998
in,NA,cigar,1800,3/7/1998
ca,us,light,600,3/7/1998
ma,us,oval,10,3/7/1998
id,us,triangle,240,3/7/1998
wa,us,formation,60,3/7/1998
ca,us,light,4,3/7/1998
me,us,formation,10,3/7/1998
ca,us,fireball,30,3/7/1998
or,us,light,2700,3/7/1998
wa,us,triangle,600,3/7/1998
il,NA,disk,3600,3/7/1998
nj,us,fireball,5,3/7/1998
mi,us,light,1200,3/7/1998
mi,us,light,1800,3/7/1998
oh,us,disk,600,3/7/1998
NA,NA,other,360,3/7/1998
oh,us,oval,900,3/7/1998
oh,us,unknown,60,3/7/1998
in,NA,triangle,300,3/7/1998
il,NA,disk,600,3/7/1998
NA,NA,oval,900,3/7/1998
ak,us,light,600,3/7/1998
ca,NA,light,120,3/7/1998
ca,us,disk,30,3/7/1998
oh,us,triangle,1200,3/7/1998
la,us,disk,1260,6/2/1998
tx,us,light,300,6/2/1998
ca,us,light,120,6/2/1998
in,us,fireball,20,6/2/1998
ar,us,light,3600,6/2/1998
ak,us,cigar,180,6/2/1998
nh,NA,crescent,10,6/2/1998
mn,us,fireball,5,6/2/1998
wi,us,fireball,3600,6/2/1998
wa,NA,light,3600,6/2/1998
ca,us,light,600,6/2/1998
ca,us,flare,30,6/2/1998
ri,us,circle,3600,6/2/1998
mi,us,disk,60,6/2/1998
ny,us,unknown,180,6/2/1998
ky,us,unknown,10,6/2/1998
NA,NA,light,1200,6/2/1998
md,us,triangle,10,6/2/1998
NA,NA,disk,3600,6/2/1998
nm,us,sphere,3,6/2/1998
ct,us,light,30,6/2/1998
ca,us,sphere,604800,6/2/1998
ca,NA,light,60,6/2/1998
ca,us,light,120,6/2/1998
tx,us,light,240,6/2/1998
ny,us,disk,1200,6/2/1998
NA,NA,sphere,300,6/2/1998
fl,us,other,10,6/2/1998
fl,us,formation,180,6/2/1998
pa,us,light,3600,6/2/1998
sc,us,light,900,6/2/1998
ct,us,unknown,10,6/2/1998
al,us,disk,5,6/2/1998
NA,NA,cylinder,120,6/2/1998
ca,us,light,300,6/2/1998
mi,us,disk,1325,6/2/1998
va,us,light,5,6/2/1998
wa,us,NA,10,6/2/1998
az,us,unknown,1800,6/2/1998
nm,us,light,3600,6/2/1998
or,us,light,30,6/2/1998
va,us,light,600,6/2/1998
ny,us,disk,240,6/2/1998
ga,us,triangle,300,6/2/1998
az,NA,light,900,6/2/1998
ca,us,light,1800,6/2/1998
co,us,circle,6,6/2/1998
md,NA,light,600,6/2/1998
pa,us,disk,300,6/2/1998
il,us,rectangle,240,6/2/1998
mo,us,unknown,600,6/18/1998
fl,us,triangle,240,6/18/1998
tx,us,light,600,6/18/1998
ga,us,circle,3000,6/18/1998
oh,us,unknown,600,6/18/1998
ms,us,disk,1200,6/18/1998
ak,us,oval,900,6/18/1998
va,us,fireball,120,6/18/1998
wa,us,light,4,6/18/1998
tx,us,disk,30,6/18/1998
mi,NA,disk,120,6/18/1998
wa,us,rectangle,60,6/18/1998
tx,us,disk,7,6/18/1998
az,us,cigar,145,6/18/1998
az,us,cigar,150,6/18/1998
il,us,cigar,20,6/18/1998
ny,us,triangle,600,6/18/1998
mo,us,light,300,6/18/1998
co,us,circle,4,6/18/1998
wa,us,oval,300,6/18/1998
fl,us,other,180,6/18/1998
tx,us,light,60,6/18/1998
tx,us,light,60,6/18/1998
pa,us,circle,600,6/18/1998
wa,us,diamond,3,6/18/1998
nj,us,disk,120,6/18/1998
fl,us,egg,4,6/18/1998
nv,us,formation,120,6/18/1998
az,us,fireball,10,6/18/1998
mo,us,unknown,420,6/18/1998
or,us,light,61,6/18/1998
nh,us,egg,30,6/18/1998
tx,us,disk,1800,6/18/1998
ut,NA,sphere,90,6/18/1998
il,us,formation,120,6/18/1998
or,NA,cigar,3600,9/26/1998
fl,us,light,300,9/26/1998
mn,us,unknown,120,9/26/1998
or,us,unknown,300,9/26/1998
nv,us,other,300,9/26/1998
az,NA,light,420,9/26/1998
al,us,circle,60,9/26/1998
nv,us,rectangle,15,9/26/1998
fl,us,light,180,9/26/1998
wa,us,circle,120,9/26/1998
ut,us,unknown,180,9/26/1998
sc,us,diamond,7200,9/26/1998
fl,us,fireball,60,9/26/1998
pa,us,circle,480,9/26/1998
az,us,triangle,60,9/26/1998
il,us,cylinder,300,9/26/1998
wa,us,changing,1200,9/26/1998
wa,us,light,120,9/26/1998
fl,us,circle,600,9/26/1998
fl,us,formation,1200,9/26/1998
tn,us,cylinder,6,9/26/1998
tn,us,formation,2700,9/26/1998
tx,NA,other,9000,9/26/1998
mo,us,light,3,9/26/1998
mo,us,light,5,9/26/1998
il,us,light,5,9/26/1998
mo,us,delta,60,9/26/1998
mo,us,light,4,9/26/1998
il,us,light,10,9/26/1998
il,us,light,900,9/26/1998
mo,NA,light,15,9/26/1998
mo,us,light,10,9/26/1998
wi,us,light,2700,9/26/1998
mo,us,light,2,9/26/1998
mo,us,sphere,5,9/26/1998
mo,us,light,1,9/26/1998
mo,us,light,2,9/26/1998
mo,us,light,2,9/26/1998
il,us,light,2,9/26/1998
wa,us,triangle,60,9/26/1998
il,us,light,2,9/26/1998
mo,us,light,20,9/26/1998
mo,us,light,1,9/26/1998
mo,us,light,10,9/26/1998
mo,us,light,2,9/26/1998
mo,us,light,10,9/26/1998
mo,us,oval,5,9/26/1998
mo,us,light,2,9/26/1998
mo,us,light,1,9/26/1998
mo,us,light,5,9/26/1998
mo,us,light,3,9/26/1998
il,us,light,2,9/26/1998
il,us,light,3,9/26/1998
il,us,light,4,9/26/1998
il,NA,light,5,9/26/1998
il,us,light,10,9/26/1998
il,us,light,7,9/26/1998
il,us,light,5,9/26/1998
il,us,light,2,9/26/1998
il,us,light,10,9/26/1998
il,NA,teardrop,30,9/26/1998
ca,us,light,300,9/26/1998
mo,us,disk,600,9/26/1998
or,us,disk,50,9/26/1998
il,us,light,2,9/26/1998
mo,us,light,30,9/26/1998
il,us,light,8,9/26/1998
mo,us,light,3,9/26/1998
ne,us,light,600,9/26/1998
wa,us,triangle,2700,9/26/1998
tx,NA,circle,5,9/26/1998
ca,us,fireball,15,9/26/1998
ca,us,flash,6,9/26/1998
nm,us,diamond,5,9/26/1998
ny,us,oval,1200,9/26/1998
mt,us,disk,300,9/26/1998
ca,us,fireball,4,9/26/1998
or,us,triangle,5400,9/26/1998
co,us,other,10,9/26/1998
fl,us,other,6,9/26/1998
wa,us,light,3,9/26/1998
wa,us,NA,180,9/26/1998
ny,us,flash,38,9/26/1998
ca,us,fireball,20,9/26/1998
ak,us,light,37800,9/26/1998
ak,us,light,2400,9/26/1998
co,NA,disk,60,9/26/1998
ca,us,light,900,9/26/1998
ca,us,sphere,3,9/26/1998
ne,us,changing,30,9/26/1998
ca,us,oval,60,9/26/1998
ut,us,triangle,12,9/26/1998
wa,us,circle,5,9/26/1998
ca,us,changing,300,9/26/1998
ca,us,formation,5,9/26/1998
or,us,disk,15,9/26/1998
tx,us,triangle,2,9/26/1998
ak,us,light,180,9/26/1998
co,us,fireball,15,9/26/1998
ri,us,egg,2,9/26/1998
ca,us,cylinder,2,9/26/1998
or,us,unknown,2,9/26/1998
pa,us,other,3600,9/26/1998
wi,us,circle,5,9/26/1998
wa,us,fireball,2,9/26/1998
ny,us,sphere,15,9/26/1998
va,us,disk,600,9/26/1998
tx,us,fireball,2,9/26/1998
ma,us,sphere,90,9/26/1998
or,us,other,600,9/26/1998
or,us,sphere,60,9/26/1998
ca,us,fireball,8,9/26/1998
tx,us,disk,60,9/26/1998
tx,us,fireball,4,9/26/1998
or,us,light,2,9/26/1998
or,us,teardrop,2,9/26/1998
wa,us,other,5,9/26/1998
wa,us,fireball,5,9/26/1998
wa,us,light,5,9/26/1998
wa,us,fireball,5,9/26/1998
wa,us,fireball,2,9/26/1998
az,us,fireball,1,9/26/1998
wa,us,fireball,8,9/26/1998
wa,us,fireball,5,9/26/1998
wa,us,fireball,5,9/26/1998
wa,us,oval,2,9/26/1998
ca,us,fireball,10,9/26/1998
wa,us,fireball,4,9/26/1998
ca,us,sphere,120,9/26/1998
tx,us,fireball,3,9/26/1998
ca,us,cigar,7200,9/26/1998
wa,us,other,2,9/26/1998
wa,us,light,2,9/26/1998
ny,us,sphere,3,9/26/1998
mi,NA,fireball,2,9/26/1998
ca,NA,light,5,9/26/1998
ca,NA,other,3,9/26/1998
oh,us,flash,5,9/26/1998
ca,us,light,1,9/26/1998
ny,us,fireball,420,9/26/1998
ak,us,sphere,600,9/26/1998
tn,us,flash,180,9/26/1998
wa,NA,fireball,3,9/26/1998
ca,NA,sphere,1,9/26/1998
oh,us,disk,10,9/26/1998
wy,us,fireball,10,9/26/1998
ny,NA,oval,240,9/26/1998
ca,us,light,600,9/26/1998
wa,us,fireball,2700,9/26/1998
ca,NA,fireball,7200,9/26/1998
mn,us,cigar,30,9/26/1998
ny,us,sphere,5,9/26/1998
or,us,cylinder,240,9/26/1998
mi,NA,fireball,5,9/26/1998
ca,us,other,30,9/26/1998
az,us,other,300,9/26/1998
wa,NA,unknown,37800,9/26/1998
ks,us,disk,60,9/26/1998
nv,us,light,180,9/26/1998
wi,us,cylinder,15,9/26/1998
ca,us,changing,300,11/1/1998
il,us,cylinder,1800,11/1/1998
nv,us,cigar,600,11/1/1998
nc,us,light,2,11/1/1998
ca,us,other,3600,11/1/1998
pr,us,cigar,120,11/1/1998
tn,us,light,10,11/1/1998
in,us,sphere,14400,11/1/1998
me,us,sphere,30,11/1/1998
ca,us,fireball,4,11/1/1998
or,us,light,5,11/1/1998
or,us,fireball,5,11/1/1998
nh,us,oval,120,11/1/1998
il,NA,formation,900,11/1/1998
il,us,triangle,900,11/1/1998
ne,us,egg,11,11/1/1998
NA,NA,chevron,300,11/1/1998
or,us,other,3,11/1/1998
nv,us,fireball,10,11/1/1998
il,us,disk,900,11/1/1998
nc,us,sphere,12,11/1/1998
ri,us,other,300,11/1/1998
va,NA,fireball,1,11/1/1998
sc,NA,light,1800,11/1/1998
ct,us,unknown,900,11/1/1998
il,us,sphere,5,11/1/1998
ca,NA,flash,10,11/1/1998
wa,us,light,120,11/1/1998
or,us,sphere,10,11/1/1998
ia,us,sphere,420,11/1/1998
il,us,light,37800,11/1/1998
tn,us,light,7,11/1/1998
or,us,fireball,7,11/1/1998
nv,us,sphere,2,11/1/1998
wa,us,light,5,11/1/1998
mt,us,disk,600,11/1/1998
oh,us,triangle,60,11/1/1998
ut,us,sphere,15,11/1/1998
fl,us,circle,1800,11/1/1998
ca,us,oval,600,11/1/1998
tn,us,formation,6,11/1/1998
az,us,fireball,300,11/1/1998
ia,us,light,60,11/1/1998
wa,NA,light,30,11/1/1998
pa,us,oval,180,11/1/1998
wa,us,other,120,11/1/1998
ia,us,circle,90,11/1/1998
la,us,fireball,60,11/1/1998
nc,us,sphere,1800,11/1/1998
ca,us,disk,300,11/1/1998
fl,us,formation,6,11/1/1998
id,us,light,600,11/1/1998
al,us,sphere,3,11/1/1998
ca,us,NA,120,11/1/1998
tx,us,light,35,11/1/1998
wi,us,fireball,30,11/1/1998
wa,us,fireball,3,11/1/1998
wa,us,fireball,3,11/1/1998
ca,us,fireball,15,11/1/1998
az,us,other,10,11/1/1998
ia,us,fireball,4,11/1/1998
wa,us,fireball,15,11/1/1998
tn,us,circle,1,11/1/1998
mn,NA,sphere,5,11/1/1998
tx,us,chevron,5,11/1/1998
ca,us,fireball,1,11/1/1998
il,us,changing,1200,11/1/1998
nm,us,NA,60,11/1/1998
wa,us,flash,6,11/1/1998
or,us,fireball,4,11/1/1998
wa,NA,fireball,3,11/1/1998
sc,us,fireball,10,11/1/1998
az,NA,oval,6,11/1/1998
sc,NA,fireball,4,11/1/1998
sc,us,flash,2,11/1/1998
sc,NA,fireball,7,11/1/1998
tx,us,formation,480,11/1/1998
ca,us,sphere,4,11/1/1998
co,us,fireball,2,11/1/1998
wa,NA,unknown,5,11/1/1998
tx,us,triangle,10,11/1/1998
ca,NA,fireball,180,11/1/1998
ky,us,disk,120,11/1/1998
mi,us,light,300,11/1/1998
fl,us,triangle,300,11/1/1998
ca,us,other,300,11/1/1998
az,us,light,1200,11/1/1998
ca,us,formation,30,11/1/1998
nm,NA,light,1200,11/1/1998
nc,us,formation,20,11/1/1998
tx,us,triangle,300,11/1/1998
wa,us,triangle,1200,11/1/1998
pr,NA,other,900,11/1/1998
wi,us,circle,120,11/1/1998
ny,us,triangle,60,11/1/1998
tx,us,oval,180,11/1/1998
ca,NA,disk,1500,11/1/1998
sc,NA,oval,1800,11/1/1998
va,NA,light,3,11/1/1998
ca,us,unknown,120,11/1/1998
ca,us,other,5,11/1/1998
sc,NA,fireball,10,11/1/1998
co,NA,circle,300,11/1/1998
wa,us,other,30,11/1/1998
or,us,disk,120,11/1/1998
wv,us,triangle,900,11/1/1998
nm,us,fireball,3600,11/1/1998
fl,us,sphere,60,11/1/1998
tn,us,light,3600,11/1/1998
mi,us,fireball,120,11/1/1998
mn,us,fireball,6,11/1/1998
ca,NA,light,1800,11/1/1998
tx,us,changing,120,11/1/1998
nd,us,disk,1800,11/1/1998
ca,us,oval,600,11/1/1998
nj,us,oval,600,11/1/1998
wa,us,disk,1800,11/1/1998
ny,us,light,120,11/1/1998
or,us,fireball,90,11/1/1998
wa,NA,light,4,11/1/1998
mi,us,egg,2,11/1/1998
ca,us,light,120,11/1/1998
wa,NA,cigar,15,11/1/1998
ks,us,circle,420,11/1/1998
or,us,oval,180,11/1/1998
tx,NA,diamond,1200,11/1/1998
nv,us,egg,900,11/1/1998
az,us,fireball,120,11/1/1998
nv,us,light,900,11/1/1998
wa,us,sphere,1800,11/1/1998
il,us,unknown,300,11/1/1998
mi,us,disk,180,11/1/1998
ca,us,egg,120,11/1/1998
or,us,chevron,45,11/1/1998
in,us,light,300,11/1/1998
co,us,light,3,11/1/1998
md,us,diamond,20,11/1/1998
ca,us,fireball,5,11/1/1998
mi,us,fireball,10,11/1/1998
oh,us,fireball,120,11/1/1998
ca,us,sphere,300,11/1/1998
mn,us,sphere,60,11/1/1998
or,NA,fireball,5,11/1/1998
wa,us,fireball,2,11/1/1998
ca,us,diamond,2700,11/1/1998
oh,us,changing,60,11/1/1998
ia,us,triangle,3600,11/1/1998
az,us,unknown,60,11/1/1998
me,us,light,60,11/1/1998
or,us,cone,45,11/1/1998
tn,us,other,60,11/1/1998
NA,NA,fireball,3,11/1/1998
NA,NA,other,600,11/1/1998
mi,us,sphere,1800,11/1/1998
or,us,light,20,11/1/1998
wa,NA,oval,10,11/1/1998
or,us,fireball,3,11/1/1998
nv,us,disk,300,11/1/1998
wa,NA,cigar,10,11/1/1998
wa,us,fireball,5,11/1/1998
ca,us,fireball,60,11/1/1998
ca,us,fireball,2,11/1/1998
wa,us,disk,900,11/1/1998
wa,us,egg,180,11/1/1998
nv,us,other,10,11/1/1998
ca,us,sphere,120,11/1/1998
az,us,oval,20,11/1/1998
nm,us,fireball,4,11/1/1998
sc,us,sphere,1,11/1/1998
ca,us,chevron,45,11/1/1998
wa,us,fireball,2,11/1/1998
wa,us,fireball,3,11/1/1998
pa,us,fireball,6,11/1/1998
ca,us,fireball,2,11/1/1998
mt,us,disk,600,11/1/1998
ny,us,cylinder,600,11/1/1998
wa,us,fireball,3,11/1/1998
ri,us,circle,10800,11/1/1998
co,NA,other,600,11/1/1998
co,us,other,2,11/1/1998
ca,us,formation,300,11/1/1998
wi,us,sphere,60,11/1/1998
wa,us,circle,7,11/1/1998
tx,us,triangle,10,11/1/1998
nj,us,triangle,2,11/1/1998
tx,us,formation,5,11/1/1998
az,us,fireball,2,11/1/1998
wa,us,fireball,2,11/1/1998
ny,us,fireball,4,11/1/1998
oh,us,triangle,60,11/1/1998
wy,NA,triangle,25,11/1/1998
oh,us,sphere,180,11/19/1998
or,us,light,60,11/19/1998
ca,us,fireball,7,11/19/1998
wi,us,other,300,11/19/1998
co,us,triangle,10,11/19/1998
ut,us,light,300,11/19/1998
az,us,oval,120,11/19/1998
ny,us,light,10800,11/19/1998
mt,NA,disk,10800,11/19/1998
ut,us,unknown,7200,11/19/1998
va,us,fireball,600,11/19/1998
wa,us,fireball,1,11/19/1998
wa,us,fireball,1,11/19/1998
wi,us,light,120,11/19/1998
la,us,changing,600,11/19/1998
ca,us,circle,1,11/19/1998
ca,us,oval,1,11/19/1998
wa,us,fireball,4,11/19/1998
mt,NA,disk,4,11/19/1998
ky,us,formation,3600,11/19/1998
hi,us,other,600,11/19/1998
mi,us,fireball,60,11/19/1998
hi,us,sphere,5,11/19/1998
oh,NA,light,2700,11/19/1998
mt,us,changing,20,11/19/1998
nc,us,circle,3,11/19/1998
mo,NA,sphere,10,11/19/1998
ok,us,sphere,180,11/19/1998
ca,us,disk,900,11/19/1998
wa,us,egg,5,11/19/1998
ca,us,light,20,11/19/1998
pa,NA,fireball,8,11/19/1998
NA,NA,egg,1,11/19/1998
oh,NA,fireball,900,11/19/1998
co,NA,triangle,20,11/19/1998
ms,us,triangle,135,11/19/1998
ca,us,unknown,60,11/19/1998
mi,us,fireball,60,11/19/1998
tn,us,other,240,11/19/1998
az,us,cross,5,11/19/1998
or,us,disk,600,11/19/1998
wa,us,flash,1,11/19/1998
ne,us,fireball,3,11/19/1998
ky,us,circle,180,11/19/1998
ia,us,cylinder,300,11/19/1998
co,us,light,840,11/19/1998
az,us,flash,2,11/19/1998
ca,us,fireball,1,11/19/1998
tx,NA,disk,60,11/19/1998
tx,us,triangle,5,11/19/1998
nv,us,unknown,60,11/19/1998
mo,us,circle,30,11/19/1998
pa,us,other,900,11/19/1998
nv,NA,fireball,1800,11/19/1998
co,us,triangle,5,11/19/1998
ks,us,other,60,11/19/1998
tx,NA,cigar,900,11/19/1998
ca,us,circle,10,11/19/1998
ia,us,triangle,240,11/19/1998
ca,us,light,3,11/19/1998
az,us,light,20,11/19/1998
fl,us,other,3,11/19/1998
ct,us,NA,9468000,11/19/1998
mi,us,fireball,60,11/19/1998
tx,us,fireball,1,11/19/1998
la,us,fireball,2,11/19/1998
me,us,sphere,1,11/19/1998
ca,us,light,1,11/19/1998
mn,us,fireball,2,11/19/1998
ca,NA,fireball,2,11/19/1998
ca,us,sphere,1,11/19/1998
ca,us,fireball,1,11/19/1998
wa,NA,flash,2,11/19/1998
wa,us,oval,60,11/19/1998
or,us,formation,20,11/19/1998
NA,gb,light,10,11/19/1998
az,us,fireball,120,11/19/1998
az,us,fireball,2,11/19/1998
ga,us,light,60,11/19/1998
sc,us,cone,720,11/19/1998
NA,NA,oval,10,11/19/1998
ma,us,fireball,2,11/19/1998
tx,us,other,180,11/19/1998
wa,us,egg,180,11/19/1998
ca,us,disk,600,11/19/1998
ca,us,fireball,10,11/19/1998
NA,NA,light,240,11/19/1998
wi,us,cross,120,11/19/1998
nm,us,unknown,120,11/19/1998
va,NA,light,300,11/19/1998
ca,us,unknown,5,11/19/1998
ct,us,diamond,120,11/19/1998
wa,NA,fireball,304,11/19/1998
nc,us,sphere,300,11/19/1998
ca,us,triangle,1200,11/19/1998
ca,NA,teardrop,180,11/19/1998
al,us,NA,3600,11/19/1998
il,us,sphere,1200,11/19/1998
oh,us,diamond,2040,11/19/1998
ks,us,disk,5,11/19/1998
id,us,triangle,2100,11/19/1998
il,us,sphere,120,11/19/1998
fl,us,circle,10,11/19/1998
wy,us,light,6,11/19/1998
ca,us,teardrop,3,11/19/1998
wa,us,triangle,4,11/19/1998
wy,us,cigar,60,11/19/1998
NA,NA,other,3600,11/21/1998
nj,us,cigar,120,11/21/1998
wi,us,cylinder,300,11/21/1998
nm,us,fireball,420,11/21/1998
ga,us,changing,300,11/21/1998
fl,us,flash,2,11/21/1998
oh,us,triangle,45,11/21/1998
nj,us,sphere,20,11/21/1998
az,us,oval,10800,11/21/1998
wi,us,fireball,5,11/21/1998
or,us,unknown,60,11/21/1998
ca,us,formation,7,11/21/1998
ca,us,light,180,11/21/1998
or,us,circle,600,11/21/1998
or,us,cross,180,11/21/1998
NA,NA,sphere,900,11/21/1998
ky,us,triangle,3600,11/21/1998
pa,us,teardrop,2,11/21/1998
mi,us,light,300,11/21/1998
ca,us,teardrop,120,11/21/1998
wa,us,circle,1200,11/21/1998
tx,us,oval,60,11/21/1998
ca,us,disk,600,11/21/1998
wv,us,light,120,11/21/1998
tx,us,cylinder,8,11/21/1998
in,us,light,300,11/21/1998
mt,us,unknown,3600,11/21/1998
sc,us,cylinder,300,11/21/1998
wi,us,other,9000,11/21/1998
nc,NA,triangle,90,11/21/1998
va,us,unknown,300,11/21/1998
ut,us,light,420,11/21/1998
az,us,sphere,120,11/21/1998
